title,type,location,bedroom,bathroom,size_sqm,price
hot deal apartment view club house 3 bed in CFC,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",3,3,204,"5,250,000"
Twin house for sale in Layan Residence 283 m prime,Twin House,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,283,"5,750,000"
i villa for sale with best price in mountain view,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,278,"5,300,000"
"Penthouse corner for sale, mountain view Hyde park",Penthouse,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,164,"3,120,000"
town house for sale Eastshire compound new cairo,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,187,"3,892,200"
luxury Apartment 205 in Compound Fifth Square,Townhouse,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,166,"4,434,000"
Now Townhouse for sale in Palm Hills - New Cairo ,Townhouse,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,160,"3,000,000"
شقة متشطبة بالكامل بحديقة -3 غرف209م ميفيدا كريسنت,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,205,"4,000,000"
Penthouse in New Cairo - installments over15 years,Townhouse,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,"1,600,000"
READY TO MOVE PAY 1.6 M DP / INSTALLMENTS OVER 8 Y,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,209,"6,600,000"
i villa B roof middle with prime location for sale,Penthouse,"Rock Vera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,194,"1,933,000"
District 5|Villa|Ready to Delivered|installment,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,168,"1,600,000"
Apart with garden 305 M for sale Front WaterWay,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,157,"3,845,000"
Own apart.127 M For sale in AL thawra street  ,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,235,"4,150,000"
Apartment For Sale Reyad towers Maadi Cornich ,Townhouse,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,4,258,"1,000,000"
apartment 150m modern with 14 years installments,Apartment,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",4,3,305,"3,150,000"
Villa 650m for sale in mountain view 1 Delivered,Apartment,"Al Thawra St., El Korba, Heliopolis - Masr El Gedida, Cairo",3,2,129,"2,600,000"
5% dp / 10yrs Installments 3BR Apartment| Finished,Apartment,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",3,3,166,"1,950,000"
Hyde Park Town Corner Classic  With Installment *,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,316,Ask
 Book your unit in new Andalus  -185m  - dp25%,Apartment,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3,2,185,"1,480,000"
Stand alone in pk1 for sale - new cairo,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,5,800,"14,900,000"
Twin house for sale in Dyar arco in New Cairo ,Villa,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",4,4,530,"9,500,000"
apart.161M  in Golden square Ready to move,Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2,161,"3,417,000"
Semi finished Apartment for sale in eastown sodic,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",2,2,126,"2,340,000"
Apartment 208 semi-finished View Lake,Apartment,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",2,2,133,"5,600,000"
READY TO MOVE APARTMENT FOR SALE IN SHOROUK CITY ,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,150,"4,000,000"
in Golden Square Apartment 195 m in Fifth Square,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,208,"3,700,000"
VGK palmhills 163M prim location Fully finishing ,Apartment,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,2,180,"2,200,000"
Prime location for bahary apt. in El Patio ORO,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,195,"5,268,000"
for sale hotel apartment fully finished,Apartment,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,163,"2,650,000"
