title,type,location,bedroom,bathroom,size_sqm,price
Townhouse middle in PK2 - New Cairo,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,3,155,"2,400,000"
Open Fountain View Apartment - Prime Location,Apartment,"Fountain Side, Uptown Cairo, Mokattam, Cairo",3,4,228,"6,070,000"
Own your hotel apartment in rivan new capital,Apartment,"Rivan, New Capital Compounds, New Capital City, Cairo",3,3,164,"3,986,300"
Apartment for sale in Elmarasem Delivered Finished,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,160,"3,260,000"
Outer Duplex With Lowest Price + Instalments -298m,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,191,"1,143,000"
Ready to move Apartment special location TheSquare,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,160,"3,150,000"
Penthouse Fully Finished For Sale in Eastown Sodic,Duplex,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,298,"5,450,000"
Villa at Giselle Swan Lake Residence Hassan Allam,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,250,"5,000,000"
Prime location | Uptown cairoTerencia | Finished,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,165,"2,000,000"
Annex | Early Delivery |Fully Finished |Smart home,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,205,"3,953,023"
Apt finished DP 90.000 immedite delvery Al Maqsad,Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",8,8,900,"2,650,000"
Duplex for sale at 5th settlement fully finshed   ,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,284,"8,000,000"
Villa 1500 for sale Katameya Dunes first row golf,Villa,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,485,"24,000,000"
Ready To Move Twin House For Sale in Layan,Villa,"Terencia, Uptown Cairo, Mokattam, Cairo",5,5,741,"33,000,000"
Apartment 187m for sale in Eastown Installments,Townhouse,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,205,"5,500,000"
Ready to move Apartment for Sale Nasr City ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",2,2,110,"1,800,000"
townhouse with a down payment 5% in Sarai-Kavana ,Duplex,"Porto New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,179,"3,500,000"
S-Villa For Sale at Sarai with lowest price,Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",8,8,"1,500","62,000,000"
Under Market Price Apartment 274m Corner         .,Twin House,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,260,"6,000,000"
With down payment 10% own apartment at midtown ,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,2,150,"2,762,996"
TownHouse For Sale  Ready to move in District 5,Townhouse,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,258,"2,792,000"
Apartment 155m for sale at Capital Gardens .,Twin House,"IL Bosco, New Capital Compounds, New Capital City, Cairo",4,4,316,"9,290,000"
 Villa for sale immediate receipt finished 7 years,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3,155,"1,500,000"
Apartment in the capital behind the central axis ,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,247,"4,900,000"
below market price villa type B_al Dyar mokhabarat,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",4,4,382,"6,700,000"
penthouse 179m for sale in mountain view executive,Apartment,"R7, New Capital City, Cairo",2,2,118,"2,156,000"
Apartment in CFC | Super Lux Finished | Lake View,Villa,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",6,6,800,"16,500,000"
Duplex for sale in Eastown from sodic,Penthouse,"Mountain View Executive, Al Andalus District, New Cairo City, Cairo",2,2,179,"3,100,000"
Amazing villa with SWIMMING POOL | Ready to move,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,2,137,"4,200,000"
Villa With Installments Over 6Y in WaterWay Villas,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,236,"5,500,000"
Apartment 152m for sale with installment ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,500,"15,500,000"
Stand Alone For Sale In Mivida - New cairo,Villa,"The Waterway Villas, Ext North Inves Area, New Cairo City, Cairo",5,4,611,"2,700,000"
Villa for sale in CFC Al-Futtaim Palace Area,Apartment,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,2,152,"2,504,000"
Apartment for sale with installment in New cairo ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,470,"15,000,000"
Villa Type C resale very prime location,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",8,8,"1,050","30,000,000"
• 5% contract provider and facilities over 7 years,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,160,"3,643,000"
Apartment with installments resale in Mivida Emaar,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,800,"22,000,000"
Receive your apartment 92m finished Monte Napoleon,Apartment,"Maadi View, El Shorouk Compounds, Shorouk City, Cairo",3,3,165,"2,064,470"
Modern Apartment For Sale in Maadi Degla,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,238,"3,650,000"
Premium Location for Twin-house - El Patio ORO,Apartment,"Monte Napoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,92,"1,600,000"
standalone for sale in mv1 semi finished primeview,Apartment,"Street 231, Degla, Hay El Maadi, Cairo",2,3,145,"2,300,000"
Apartment For Sale Lowest Price in Mivida parcel10,Twin House,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,311,"6,600,000"
Apartment 149m resale in district 5 prime location,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,326,"14,500,000"
Apartment for sale with garden in Hyde Park ,Apartment,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,2,149,"2,095,710"
 فيلا مميزه استلام فوري للبيع بتسهيلات حتى 5 سنوات,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,135,"2,800,000"
Villa type M in palm hills new cairo installments,Villa,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",4,4,216,"6,600,000"
Apartment at mountain view hyde park ( phase1)   .,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,227,"12,138,000"
Good Location Middle Town House Resale in Azzar ,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,208,"1,660,000"
Villa for sale 300 m in The Wonder Marq.,Townhouse,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,225,"1,500,000"
penthouse for sale with special price in sherouk,Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4,300,"12,000,000"
     Apartment for sale in front of Arabella Plaza,Penthouse,"Granda Life, El Shorouk Compounds, Shorouk City, Cairo",4,2,193,"2,875,000"
Standalone in Palm Hills Katameya Landscape View,iVilla,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,3,325,"5,012,000"
penthouse for sale in patio 7 compound super lux,Apartment,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",3,2,200,"3,400,000"
get your townhouse great area over 100 month,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6,440,"15,500,000"
Apartment for Sale with lowest price at Sarai,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,5,950,"15,000,000"
Stand Alone Villa 700M in Prime Location New Cairo,Penthouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,268,"4,400,000"
Best villa for sale in all new cairo ,Penthouse,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,400,"7,500,000"
apart Ready to move with installments in Mostkbal,Townhouse,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,218,"4,290,000"
APARTMENT 96M GROUND FLOOR LOWEST DOWN PAYMENT,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,122,"1,185,000"
Apartment 153 SQM in katamya plaza semi finished .,Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,7,600,"24,000,000"
Villa for sale in new cairo 10 years installment,Villa,"Abo Khairy St., Rehab City Third Phase, Al Rehab, New Cairo City, Cairo",3,5,275,"7,800,000"
apt 2.400.000 in mountain view hyde park 141 m   .,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,141,"2,400,000"
Over15 years Apartment 170 m 3rooms for6000monthly,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,170,"1,799,999"
Townhouse corner classic for sale / prime location,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,321,"7,700,000"
apartment from La Vista company in El Shorouk ,Apartment,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,3,160,"2,600,000"
215m apartment ready to move overlooking the lake ,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,215,"4,200,000"
Pay 470000 and Own Town House in new cairo city   ,Townhouse,"90 Avenue, South Investors Area, New Cairo City, Cairo",3,3,166,"4,750,000"
Amazing Stand Alone L880m. For Sale in Dyar,Villa,"Dyar, Ext North Inves Area, New Cairo City, Cairo",5,5,880,"12,500,000"
Modern finished standalone villa in VGK compound,Villa,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,300,"8,200,000"
Penthouse for sale in Eastown Sodic Resale ,Penthouse,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,319,"3,300,000"
AN OUTSTANDING VILLA*1200-M2 LAND- PRIME LOCATION*,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,5,"1,200","18,350,000"
town house villa corner 320m in Dyar park,Townhouse,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,161,"3,000,000"
"villa ready to move ,fully finished prime location",Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,177,"5,335,000"
Fully finished & Furnished Apartment beside AUC,Townhouse,"Dyar Park, Ext North Inves Area, New Cairo City, Cairo",4,3,320,"5,800,000"
2 bedrooms apartment with garden  | 9y installments,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,177,"5,000,000"
A Modern Villa For Sale in Katameya Heights 600 Sqm,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4,4,340,"2,700,000"
Apartment with installment in El Patio Oro for sale,Villa,"Cleopatra Palace, 5th District, Shorouk City, Cairo",4,4,319,"6,770,000"
Own apartment with Installment up to 8 years vinci ,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,"3,970,000"
townhouse for sale in The wonder Marq bahry on lake,Apartment,"The Village, South Investors Area, New Cairo City, Cairo",2,2,146,"2,600,000"
Apartment in Taj City special location Lowest price,Townhouse,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,125,"3,000,000"
Delivered resale apartment under price capital gardens,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,145,"2,500,000"
Villa in Mivida Views 356m | Great price &location,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4,198,"2,000,000"
Landscape & Pool View |Lowest Price in  El Patio 3,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,356,"14,850,000"
Apartment 3Beds ready to move in New Cairo - 90 Avenue,Twin House,"Al Patio 3, Ext North Inves Area, New Cairo City, Cairo",4,4,409,"8,200,000"
mivida - twin house - fully finished- with privet pool,Apartment,"90 Avenue, South Investors Area, New Cairo City, Cairo",3,2,190,"4,850,000"
"Studio 1 romm - appliances, AC's - rented 9000LE .",Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,320,"13,500,000"
 Resale Prime Location Corner Stand Alone Villa Type D,Apartment,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",1,1,88,"1,950,000"
installment 8 years Penthouse with lowest down payment,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,450,"17,500,000"
Own Apartment with installment on 6 years in New Cairo,Penthouse,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,166,"1,200,000"
Apartment for sale castle landmark with prime location,Apartment,"Galleria Residences, South Investors Area, New Cairo City, Cairo",3,3,173,"3,300,000"
Fully finished apartment fifth square with downpayment,Villa,"IL Bosco, New Capital Compounds, New Capital City, Cairo",7,7,486,"1,878,367"
Villa for sale in CFC premium location & finishing,Apartment,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",2,2,145,"2,408,000"
Apartment for sale palm hills new cairo with installmet,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",2,2,130,"3,524,000"
Hotel apartment 43m for sale with down payment at rayan,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5,7,500,"22,000,000"
"Apartment, Water Way - Finished ""Acs - kitchen""",Villa,"Sodic East, 6th District, New Heliopolis, Cairo",5,6,380,"4,550,000"
Apartment with garden sale with facilities in New Cairo,Townhouse,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,160,"5,000,000"
Ground Floor Apartment 175m 3bedrooms At CFC Al Futtaim,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,185,"2,757,000"
For sale villa in palm hills katameya PK1view land scape,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,246,"8,276,950"
For sale penthouse in Azad semi finished on Central Park,Hotel Apartment,"Central Business District, New Capital City, Cairo",1,1,43,"1,703,000"
Hot deal luxurious Twin Villa for sale in Tiba Compound ,Twin House,"Teba, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,420,"6,900,000"
Without DP Townhouse and Rest over 8Y in Azzar New Cairo,Townhouse,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,177,"8,550,000"
Apartment | Prime Location | CFC + Kitchen& AC's,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2,2,139,"4,000,000"
Apartments with installment on 7 years in 5th Settlement,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,"2,387,000"
Penthouse + Swimming Pool | Semi Finished | GMV for sale,Penthouse,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",4,3,260,"4,000,000"
Apartment for sale casltle land mark with 10% downpayment,Apartment,"Castle Landmark, New Capital Compounds, New Capital City, Cairo",4,4,225,"3,325,000"
With DP 5% Finished Duplex with Kitchen in Trio New Cairo,Duplex,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,172,"4,878,822"
I VILLA BY 10% DP - VERY PRIME LOCATION - MOUNTAIN VIEW 1,iVilla,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,250,"7,500,000"
Own your Apartment now with A/C and Appliances in Eastown,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,157,"4,250,000"
FULLY FINISHED - READY TO MOVE - GROUND FLOOR – OPEN VIEW,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",3,4,334,"1,362,000"
With discount 12% own Ready to move Apartment in Madinaty,Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,172,"2,366,640"
Apartment without down payment for sale in Jayd Compound ,Apartment,"Madinaty, Cairo",3,4,182,"2,200,000"
"Apartment 181m at SODIC villette ""SKY CONDOS"" RTM",Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,140,"3,400,000"
amazing villa for sale near the A U C _under market price,Apartment,"JAYD Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,157,"2,754,000"
"Villa for sale in Mivida Emaar compound, Fifth Settlement",Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,181,"5,000,000"
"Apartment for sale in Beit Al Watan, 4th District, 172 m²",Villa,"Teba, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,400,"7,100,000"
Delivery Now aprtm in mountain view | 9 Years installments,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,355,"14,800,000"
For sale apartment 170 m in Beit Al Watan Fifth Generation,Apartment,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2,172,"1,247,000"
Townhouse 3Beds with DP 10% with Rest over 8Y in new cairo,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,160,"3,150,000"
"Best Price for Villa at MIVIDA EMAAR "" The Views """,Apartment,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,170,"1,207,000"
town house for sale at Wonder Marq compound in Future City,Townhouse,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,261,"6,187,000"
Prime location Apartment in IL Bosco city - Mostakbel City,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,435,"14,000,000"
Apartment without down payment for sale in Stone Residence,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,165,"2,900,000"
With installment own apartment at de joya with installment,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,177,"2,908,000"
"Ready To move Villa at Sarai ,15%DP instllments over 7years",Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,329,"5,745,951"
Opportunity For Sale in South Zamalek  Steps to Gazira Club,Apartment,"El Gezirah St., Zamalek, Cairo",3,3,240,"8,750,000"
under market price apartment prime location capital gardens,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,167,"2,255,000"
prime location Villa fully furnished for sale in Stone Park,Villa,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,280,Ask
"Immediate delivery , Fully finished Apartment , New Cairo .",Apartment,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",2,2,121,"2,700,000"
Opportunity for Sale in South Zamalek with Gazira Club View,Apartment,"El Gezirah St., Zamalek, Cairo",3,3,240,"10,500,000"
"Town House 260m Al Burouj 5% DP over 14 years, Delivery 2026",Townhouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,255,"9,000,000"
Villa 435m  for sale mivida immediate deliver  semi finished,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,260,"6,000,000"
"Town House 280m Al Burouj 5% DP over 14 years, Delivery 2026",Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4,300,"5,300,000"
Fully finished apartment in front of the American University,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,435,"16,500,000"
Penthouse with roof 70m fully finished for sale in New Cairo,Twin House,"IL Bosco, New Capital Compounds, New Capital City, Cairo",4,5,251,"8,151,313"
with DP 5% own Finished Apartment 130m with AC in AL-Marasem,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4,3,280,"6,400,000"
Apartment with garden Ready to move Next to AUC in New Cairo,Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,2,64,"3,385,000"
Apartment at Uptown Cairo 179M at Aurora phase prime location,Penthouse,"Regents Park, Al Andalus District, New Cairo City, Cairo",4,4,276,"7,450,000"
Fully Finished Apartment 4Beds with Garden and A/C in Marasem,Villa,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,260,"14,900,000"
apartment 139 m fully finish with furnish under market price ,Villa,"IL Bosco, New Capital Compounds, New Capital City, Cairo",7,7,486,"1,934,217"
Penthouse finished and Ready to move For Sale in Fifth Square,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,2,150,"2,762,996"
for sale apartment under price prime location capital gardens,Penthouse,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,4,207,"4,750,000"
Apartment for sale from Nasr City for Housing and Development,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3,165,"2,150,000"
Standalone Villa For Sale Type V1A Oriana 3 At CFC Al Futtaim,Apartment,"Tag Sultan, Ring Road, Cairo",2,2,126,"2,509,000"
Stand Alone Villa 7bedrooms Corner Unit At Cairo Festival City,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5,5,500,"14,000,000"
Own your Unit now in Stei8ht with 5% down payment over 8 years,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",7,6,750,"20,000,000"
Townhouse Ready to Move with Rest over 4Y in Fifth Settlement ,Townhouse,"Stei8ht, The 1st Settlement, New Cairo City, Cairo",4,5,270,"9,200,000"
"Duplex 300m alburouj 5% dowpayment over 14years, Delivery 2026",Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,260,"6,500,000"
For sale fully-finished hotel apartment with furniture& A/C,Duplex,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3,3,300,"4,000,000"
Move Now to Standalone Villa with 5% DP over 8 years Sodic East,Twin House,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,313,"13,000,000"
Apartment 3Bed with garden ready to move in Lake View Residence,Hotel Apartment,"D-Square, Downtown Area, New Capital City, Cairo",1,1,63,"1,965,600"
Move Now to Standalone Villa with 5% DP over 8 years Sodic East,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",4,4,380,"8,900,000"
Amazing Resale SVilla B 260m For Sale at sarai Ready to deliver,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,207,"4,900,000"
Apartment for sale in Southern Investors,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",4,4,380,"9,000,000"
Apartment  | Ground with garden | District 5,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",3,4,286,"1,071,000"
Stand Alone Villa At Oriana III Prime Location At CFC Al Futtaim,Townhouse,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,260,Ask
0% down payment in equal installments up to 7 years in De joya 3,Apartment,"Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",3,2,175,Ask
"Huge standalone villa at palm hills kattamya for sale , New Cairo",Apartment,"District 5, The 5th Settlement, New Cairo City, Cairo",2,3,150,"4,126,000"
Apartment 3Beds with prime price for cash in Galleria Moon Valley,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",6,6,600,"19,000,000"
Apartment for sale with prime location at palm hills village gate,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,160,"3,692,307"
Garden apartment for sale in the heart of the Golden Square in vgk,Duplex,"De Joya, New Capital Compounds, New Capital City, Cairo",3,3,278,"4,328,000"
"Receive your apartment immediately next to the AUC , semi-finished",Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,164,"2,416,000"
Ready to move apartment in Easttown Sodic | Open view on landscape,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155,"4,400,000"
Lowest Price Ground Apartment @Lake View Residence,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,122,"2,300,000"
Amazing Standalone  For Sale in Hayah Residence,Duplex,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,227,"5,100,000"
Stand Alone Villa in il Bosco Capital with pool ,Apartment,"Omarat Al Cinema St., Manteqet Al Cinema, Nasr City, Cairo",3,3,168,"2,687,999"
villa for sale swan lake residence بمقدم 5 % فقط ,Villa,"Hayah Residence, North Teseen St., The 5th Settlement, New Cairo City, Cairo",5,5,780,"13,500,000"
"For sale. Azad,apartment  177m, view swimming pool",Villa,"IL Bosco, New Capital Compounds, New Capital City, Cairo",5,4,400,"13,167,602"
TWIN HOUSE with Basement for sale in PK1palm hills,Villa,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8,8,388,Ask
pent house patio Oro-golden square- installment ,Apartment,"Omarat Al Cinema St., Manteqet Al Cinema, Nasr City, Cairo",2,2,143,"2,431,000"
Apartments for sale in Mokattam in the hdba wsta,Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,177,"3,800,000"
Townhouse Wonderful View Prime Location - Villette,Twin House,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,4,630,"11,750,000"
Apartment for sale in Maadi district,Penthouse,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,192,"4,429,000"
Townhouse Corner Fully Finished Delivered Les Rois,Apartment,"Omarat Al Cinema St., Manteqet Al Cinema, Nasr City, Cairo",3,3,200,"3,200,000"
Own now luxery villa in Palm Hills KattameyaD.P10%,Apartment,"Next Point, Al Hadaba Al Wosta, Mokattam, Cairo",2,2,134,"1,139,000"
ready to move best discount on cash,Townhouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,310,"9,500,000"
Apartment for sale near Zahraa El Maadi 146m,Apartment,"Next Point, Al Hadaba Al Wosta, Mokattam, Cairo",3,2,153,"1,338,750"
El Banafseg 6 New Cairo Finished Apartment Sale,Townhouse,"Les Rois, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,400,"10,250,000"
under market price  Villa Classic  at Hyde Park,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,4,432,"1,430,000"
"Unit for sale in Mokattam, the central plateau",Duplex,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4,264,"2,970,000"
Ready to move Apartment for sale in Galleria,Apartment,"Next Point, Al Hadaba Al Wosta, Mokattam, Cairo",3,2,146,"1,277,500"
Pent House Ready to move|Patio casa La Vista || 15% Dp |install 5 years,Villa,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,3,190,"3,940,000"
Delivery 6 months//Fully finished /near clubhouse ,Apartment,"New Capital Compounds, New Capital City, Cairo",3,2,155,"2,247,500"
