web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,data8,position2,data9,image,image2,image3,image4,image5
"1775804975-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment Super lux For sale in Fifth Square Compound - AlMarasem","Fifth Square Compound - AlMarasem","8,000,000 EGP","– 64,000 EGP/m²","125 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","2","13","/","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba4e828394e040438367.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba4e8627e43484350151.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba4e86161e4505361914.jpg","","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804975-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Modern 2-Bedroom Apartment in Nest Compound, Fifth Settlement fully finished","Nest Compound - Nawassy","8,850,000 EGP","– 65,555 EGP/m²","135 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","2","3","12","/","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6984727b4030e909904144.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698472686f0e0605468982.png","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6984727b35baf776087462.jpg","",""
"1775804975-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","عمارات للبيع في اللوتس الجنوبيه","Lotus South","75,000,000 EGP","– 22,727 EGP/m²","3300 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","","","28","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6930268707e29820489856.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/693026872a300111639839.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/693026875fe21698105999.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804975-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","مكاتب للبيع في فيستيفال ليفينج - كمبوند كايرو فيستيفال سيتي","Festival Living - Cairo Festival City Compound","28,700,000 EGP","– 298,958 EGP/m²","96 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","1","1","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6991df52c00ff559108648.jpg",""
"1775804975-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","apartment for sale 200m ready to move new cairo","Second Sector","7,000,000 EGP","– 35,000 EGP/m²","200 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b92a8da6f9d361580358.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804975-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","best market price for apartment 130 m - very prime location in trio gardens new cairo","Trio Gardens Compound - M Squared","6,400,000 EGP","– 49,230 EGP/m²","130 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","3","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba72dc46941610933646.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804975-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","shop for sale at the finest project of Golden Square delivery 2026","Fifth Square Compound - AlMarasem","10,000,000 EGP","– 128,205 EGP/m²","78 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","","","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698df32ee2a3a017370351.jpg",""
"1775804975-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","فلل للبيع في بارك كورنر - كمبوند هايد بارك","Park Corner - Hyde Park Compound","75,000,000 EGP","– 135,869 EGP/m²","552 m²","13","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","7","7","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698dbbe278ce0831292428.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804975-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","apartment for sale 172m ready new cairo 5th settlement beit al watan","Fifth Neighborhood","4,350,000 EGP","– 25,290 EGP/m²","172 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b9405f18aec029334447.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775804975-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","شقة بجاردن نصف تشطيب بفيو علي ليك للبيع في ذا سكوير القاهرة الجديدة","The Square Compound - Sabbour","8,700,000 EGP","– 49,152 EGP/m²","177 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","3","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ba795c4f7c5879111711.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804975-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment with private garden for sale ready to move in zizinia mostakbal","Zizinia El Mostakbal Compound - ARDIC","4,600,000 EGP","– 33,823 EGP/m²","136 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/6995c90d71d01223092907.jpg",""
"1775804975-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","شقق للبيع في كمبوند زيزينيا جاردنز - ارضك","Zizinia Gardens Compound - Ardic","6,500,000 EGP","– 46,428 EGP/m²","140 m²","27","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6978bebc7fa52383844595.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804975-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment For sale in Fifth Square Compound - AlMarasem","Fifth Square Compound - AlMarasem","8,000,000 EGP","– 64,516 EGP/m²","124 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b94c3db582d334849416.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804975-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","town house For sale in The Wonder Marq Compound over installments","The Wonder MarQ Compound - The MarQ","13,000,000 EGP","– 108,333 EGP/m²","120 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6979f99148477417008421.jpg",""
"1775804975-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment For sale in Garden Heights Compound","Garden Heights Compound","4,400,000 EGP","– 30,136 EGP/m²","146 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b566290d9a5280308095.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775804975-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment Semi Finished in L'avenir Compound - Al Ahly Sabbour","L'avenir Compound - Al Ahly Sabbour","3,500,000 EGP","– 26,717 EGP/m²","131 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","2","2","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b958c57933a167447290.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/logo/2103/604e7d5e4cf7d696428651.png"
"1775804975-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","commercial for sale in Trio Mall 5th Settlement over instalments and very amazing price","Trio Mall - Everest","2,670,000 EGP","– 86,129 EGP/m²","31 m²","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","","","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/697b69c66bad6488555597.jpg",""
"1775804975-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=7","Apartment 132 M² For sale in The Square Compound - Sabbour","The Square Compound - Sabbour","5,200,000 EGP","– 39,393 EGP/m²","132 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","3","2","","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b567e9f3cb3667951043.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
