web_scraper_order,web_scraper_start_url,name,title,data,data2,data3,data4,title2,title3,data5,data6,position,position2,data7,position3,data8,image,image2,image3,image4
"1775805073-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","تاون هاوس 192 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","29,987,000 EGP","– 156,182 EGP/m²","192 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","Discover More","/","8","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce5fec11e075539626.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce60bb5e7875411991.jpg",""
"1775805073-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","دوبلكس بحديقة Extra super lux For sale in Suleiman al-Halabi St.","12,500,000 EGP","– 35,714 EGP/m²","350 m²","New Cairo - 5th Settlement","Suleiman al-Halabi St.","WhatsApp","Call","Discover More","/","4","","","","3","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d83fd539e0f918786618.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d83fd5d4218192941763.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d83fd6305f1382109826.jpg",""
"1775805073-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Villa 461 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","80,250,000 EGP","– 174,078 EGP/m²","461 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","Discover More","/","8","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce5fec11e075539626.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce60bb5e7875411991.jpg",""
"1775805073-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","تاون هاوس 192 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","29,599,000 EGP","– 154,161 EGP/m²","192 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 172 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","25,910,000 EGP","– 150,639 EGP/m²","172 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 152 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","23,278,000 EGP","– 153,144 EGP/m²","152 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 132 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","16,917,000 EGP","– 128,159 EGP/m²","132 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 174 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","21,392,000 EGP","– 122,942 EGP/m²","174 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","3","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 132 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","19,166,000 EGP","– 145,196 EGP/m²","132 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 114 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","14,125,000 EGP","– 123,903 EGP/m²","114 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 131 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","18,071,000 EGP","– 137,946 EGP/m²","131 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 115 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","14,186,000 EGP","– 123,356 EGP/m²","115 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 131 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","16,387,000 EGP","– 125,091 EGP/m²","131 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 131 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","19,039,000 EGP","– 145,335 EGP/m²","131 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","Apartment 115 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","14,962,000 EGP","– 130,104 EGP/m²","115 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 114 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","16,919,000 EGP","– 148,412 EGP/m²","114 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","شقة بحديقة 114 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","18,311,000 EGP","– 160,622 EGP/m²","114 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","2","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","ستوديو بحديقة 70 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","10,716,000 EGP","– 153,085 EGP/m²","70 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","ستوديو بحديقة 70 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","10,418,000 EGP","– 148,828 EGP/m²","70 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
"1775805073-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=14","ستوديو 70 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo","9,283,000 EGP","– 132,614 EGP/m²","70 m²","New Cairo - 5th Settlement","Palm Hills New Cairo - PHNC","WhatsApp","Call","","/","","8","|","1","1","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2305/6464ce6084ef1579631338.jpg"
