web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,data7,data8,data9,data10,image,image2,image3,image4,image5
"1775805039-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Penthouse With Very Prim Location Installment 8 Years","The Icon Gardens Compound - Style Home","12,000,000 EGP","– 47,058 EGP/m²","255 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","23","4","/","4","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/69395959ab855344245413.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6939595889485829372887.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6939595927010814195210.jpg","",""
"1775805039-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","عيادات للبيع في منطقة خدمات البنفسج","El Banafseg Services Area","6,355,000 EGP","– 155,000 EGP/m²","41 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","4","2","/","1","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6935687306d87282661684.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/693568731d3d7812504516.jpg","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/69356873555fd435595318.jpg","",""
"1775805039-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقة للبيع في شارع 1","Street 1","4,800,000 EGP","– 30,000 EGP/m²","160 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Verified","Discover More","9","3","/","2","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698c9130f3ff3854370443.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698c9135d20e6283741425.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698c9130be0ad004137388.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805039-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","امتلك شقه ارضي147م+82جاردن نص تشطيب في النرجس الجديده التجمع الخامس كودL5018","New Narges","3,750,000 EGP","– 25,510 EGP/m²","147 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69cd09910f7b2012154128.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2302/63f21303a4130207234173.jpg"
"1775805039-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","ONLY dp 830K ,over 12 years, own 3BR APT in SARAI next to palm hills CSH","Elan - Sarai Compound","4,300,000 EGP","– 32,575 EGP/m²","132 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/6968f7d811085607319511.jpg",""
"1775805039-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقة دور ثالث 130م فيو مفتوح – المستثمرين بالتجمع الخامس استلام فوري","El Gezira St.","2,500,000 EGP","– 19,230 EGP/m²","130 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","2","/","2","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/699eb51b6296c799746376.jpg",""
"1775805039-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","apartment for sale 135m with garden 58m new cairo 5th settlement new narges","New Narges","3,050,000 EGP","– 22,592 EGP/m²","135 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69ae9b95eb154221685176.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2002/5e3a9d779e25c316531553.jpg"
"1775805039-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Ready To Move Apartment RESALE  With Lowest Price","The Icon Gardens Compound - Style Home","6,500,000 EGP","– 34,210 EGP/m²","190 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","3","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6935667a18f92991560447.jpg",""
"1775805039-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقق للبيع في كمبوند النخيل","El Nakheel Compound","7,000,000 EGP","– 30,434 EGP/m²","230 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6938007bf021f159962049.jpg",""
"1775805039-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Apartment in Loaloat New Cairo Compound - Urban Communities Authority 152 M² Semi Finished For sale","Loaloat New Cairo Compound - Urban Communities Authority","2,350,000 EGP","– 15,460 EGP/m²","152 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b5687d6a0c4346761291.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805039-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Studio for sale with a 300,000 down payment, near the American University in New Cairo (CSA).","The Icon Gardens Compound - Style Home","2,000,000 EGP","– 36,363 EGP/m²","55 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","1","/","1","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2602/698b4d9188083352476662.jpg",""
"1775805039-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Apartment With Garden READY TO MOVE special price","Palm Hills New Cairo - PHNC","8,000,000 EGP","– 38,834 EGP/m²","206 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","3","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/69302657eb415509651631.jpg",""
"1775805039-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقق للبيع في مناطق فرعية بشمال الرحاب","North Rehab","4,455,000 EGP","– 30,724 EGP/m²","145 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/6936ee416bda4068983525.jpg",""
"1775805039-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","For sale - Apartment 102 M² Super lux","Garden Heights Compound","2,900,000 EGP","– 28,431 EGP/m²","102 m²","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","2","/","1","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b57415be9b4705172980.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805039-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Two-bedroom apartment for sale with a down payment of 570,000 on 90th Street, opposite Hyde Park - CSA","The Icon Residence 2 - Style home","3,700,000 EGP","– 33,636 EGP/m²","110 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","2","/","2","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/694fe463e4cfb954797540.jpg",""
"1775805039-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Family House Fully Finished With installment 9Y","Palm Hills New Cairo - PHNC","24,200,000 EGP","– 132,240 EGP/m²","183 m²","7","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","4","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/693027e7c013b506656434.jpg",""
"1775805039-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","استلام فورى فى قلب التجمع الخامس بجوار البيج نيم وعلى شارع التسعين الجنوبى","El Andalus 1","4,300,000 EGP","– 25,294 EGP/m²","170 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","3","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/692edf4733ebe815275124.jpg",""
"1775805039-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","Apartment Semi Finished For sale in El Gezira St.","El Gezira St.","4,800,000 EGP","– 30,000 EGP/m²","160 m²","6","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","3","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2603/69b6956451726240303915.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
"1775805039-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقق للبيع في الحي الرابع","Fourth Neighborhood","4,175,000 EGP","– 23,857 EGP/m²","175 m²","3","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","2","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2512/692eda905075c020241945.jpg",""
"1775805039-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=12","شقق للبيع في شارع علي السباعي","Ali Al Sibai St.","4,800,000 EGP","– 28,235 EGP/m²","170 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","Verified","","","3","/","3","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2601/69773e928ce26675489559.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2309/64f5e8193a401272987835.jpeg"
