web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,position,data4,title2,title3,data5,data6,position2,data7,data8,image,image2,image3,image4,image5
"1775805147-1","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","دوبلكس بحديقة For sale in Street 16","Street 16","8,000,000 EGP","– 30,188 EGP/m²","265 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","3","11","3","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7ba5c442aa626136834.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7ba5d0a1b8044090531.jpg","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7ba5d78ff9225540857.jpg","","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2403/6602ea1ccec01740581737.jpeg"
"1775805147-2","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Furnished Penthouse 3rooms sale village gate palm hills new cairo","Village Gate Compound - Palm Hills","13,000,000 EGP","– 59,090 EGP/m²","220 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","3","9","3","/","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7b38ca389b803957473.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7b38b3df4a136786669.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7b38c980a4316645717.jpg","","https://img-3.aqarmap.com.eg/new-aqarmap-media/logo/1808/5b7f27eccd135.jpeg"
"1775805147-3","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Villa  For sale in Phase 9","Phase 9","48,000,000 EGP","– 109,839 EGP/m²","437 m²","","New Cairo - 5th Settlement","WhatsApp","Call","Discover More","7","12","7","/","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7abfbd79b3147314772.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7abf01380a417562091.jpg","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7abf26264a321358278.jpg","","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-4","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Apartment 237 M² For sale in American University Housing District","American University Housing District","7,350,000 EGP","– 31,012 EGP/m²","237 m²","15","New Cairo - 5th Settlement","WhatsApp","Call","","3","","4","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7aa1532401712715955.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805147-5","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Apartment 190 M² Semi Finished in Second Neighborhood","Second Neighborhood","4,700,000 EGP","– 24,736 EGP/m²","190 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","2","","3","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a8db712bb744559294.jpg",""
"1775805147-6","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","سكني 190 M² For sale in Khaled Ibn El Waleed St.","Khaled Ibn El Waleed St.","8,250,000 EGP","– 43,421 EGP/m²","190 m²","32","New Cairo - 5th Settlement","WhatsApp","Call","","2","","3","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7ab1fbf8cb342416720.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2403/6602ea1ccec01740581737.jpeg"
"1775805147-7","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","سكني For sale in Ahmed Rami St.","Ahmed Rami St.","4,250,000 EGP","– 47,222 EGP/m²","90 m²","20","New Cairo - 5th Settlement","WhatsApp","Call","","1","","2","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7aa84e8384208658470.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-8","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","دوبلكس For sale in Fourth Neighborhood","Fourth Neighborhood","4,900,000 EGP","– 19,215 EGP/m²","255 m²","9","New Cairo - 5th Settlement","WhatsApp","Call","","4","","3","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a8ac24703308439579.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805147-9","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","For sale - Apartment 175 M² Super lux in Mohamed Sabry Abu Alam St.","Mohamed Sabry Abu Alam St.","5,500,000 EGP","– 31,428 EGP/m²","175 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","","2","","3","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7afffa789c015135445.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2403/6602ea1ccec01740581737.jpeg"
"1775805147-10","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Own a villa in Madinaty, Model II, Super Lux finishing. Land area: 219 sq m Building area: 191 sq m Special finishes North facing Sale includes kitchen and air conditioners Excellent location Close to all services Advertiser code: mss","Group 22","22,000,000 EGP","– 115,183 EGP/m²","191 m²","17","New Cairo - 5th Settlement","WhatsApp","Call","","3","","3","/","","","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a3ad32c72840591673.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Apartment For sale in Fourth Neighborhood","Fourth Neighborhood","6,100,000 EGP","– 28,372 EGP/m²","215 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","","3","","4","/","","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a744cf205385439125.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805147-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Apartment for sale, first occupancy in Madinaty 170 sq m Company finishes 4th floor with elevator 3 bedrooms 3 bathrooms Reception Kitchen In the most desirable phase of Madinaty, B8 Close to all services Garden view Advertiser code: mss","Madinaty - B 8","10,500,000 EGP","– 61,764 EGP/m²","170 m²","12","New Cairo - 5th Settlement","WhatsApp","Call","","3","","3","/","","","","https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a2117e768151709119.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Apartment  For sale in Fourth Neighborhood","Fourth Neighborhood","6,100,000 EGP","– 28,372 EGP/m²","215 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","","3","","4","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a65931d5c765444742.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805147-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Pay only 2,500,000 and own a 170m² apartment in Wesal City, directly on the Suez Road. The rest is payable in installments over 8 years. Fourth floor with elevator. Highest view in the city, overlooking a wide garden and facing the sea. 3 bedrooms, 3 bathrooms, reception, kitchen. Close to services. Only the amount paid is required, no additional fees. Advertiser code: mss","Madinaty Road","2,500,000 EGP","– 14,705 EGP/m²","170 m²","15","New Cairo - 5th Settlement","WhatsApp","Call","","3","","3","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d79e0de5276700819609.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","روف  For sale in Sixth Neighborhood","Sixth Neighborhood","4,900,000 EGP","– 26,063 EGP/m²","188 m²","8","New Cairo - 5th Settlement","WhatsApp","Call","","3","","3","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a42d9f051473490499.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805147-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","Own an apartment in Al Rehab City, 131 sq m, company finishes. Excellent location. Second floor with elevator. Attractive price. 3 bedrooms. 2 bathrooms. Reception. Kitchen. Garden view. Advertiser code: mss","Phase 9","6,800,000 EGP","– 51,908 EGP/m²","131 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","","2","","3","/","","","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a0d86d743851854959.jpg","https://img-2.aqarmap.com.eg/new-aqarmap-media/logo/2310/652fc25a8a8e5090835506.jpg"
"1775805147-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=19","روف  For sale in Fourth Neighborhood","Fourth Neighborhood","4,600,000 EGP","– 29,299 EGP/m²","157 m²","11","New Cairo - 5th Settlement","WhatsApp","Call","","2","","3","/","","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d7a94ea2ea2240541954.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
