Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"3,000,000 EGP",211,2,2 bathroom,,2025,Broker,Side Street,Cash,New Narges,Basic,3000000,14218.01
"6,285,000 EGP",115,2,2 bathroom,2,2028,Broker,Main Street,Cash or Installments,Rovan Views Compound,"View, Finished",6285000,54652.17
"5,194,000 EGP",106,2,2 bathroom,2,2029,Broker,Main Street,Cash or Installments,Rovan City,Finished,5194000,49000
"4,561,700 EGP",55,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,4561700,82940
"10,500,000 EGP",229,3,3 bathroom,1,2025,Broker,Garden,Cash,Street 1,Basic,10500000,45851.53
"5,308,160 EGP",64,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,5308160,82940
"5,639,920 EGP",68,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,5639920,82940
"5,750,000 EGP",145,3,3 bathroom,4,2025,Broker,Garden,Cash,Mountain View Icity,View,5750000,39655.17
"3,400,000 EGP",178,3,2 bathroom,1,2026,Broker,Main Street,Cash or Installments,بيت الوطن,Basic,3400000,19101.12
"4,250,000 EGP",190,3,2 bathroom,,,EG-6603122,Main Street,Cash,Unknown,Basic,4250000,22368.42
"5,527,800 EGP",111,2,2 bathroom,2,2029,Broker,Main Street,Cash or Installments,Coy Compound,Super Lux,5527800,49800
"750,000 EGP",110,2,1 bathroom,5,1998,Private Owner,Side Street,Cash,Kafr Tohormos Rd,Basic,750000,6818.18
"4,028,000 EGP",76,2,1 bathroom,1,2025,Broker,Sea View,Installments,قلب الأحياء موقع,Basic,4028000,53000
"7,000,000 EGP",200,3,3 bathroom,2,1992,Broker,Side Street,Cash,Unknown,Basic,7000000,35000
"4,573,800 EGP",154,3,3 bathroom,3,2029,Developer,Pool,Installments,Darvell Residence Compound,Basic,4573800,29700
"7,500,000 EGP",160,3,2 bathroom,16,2015,Broker,Main Street,Cash,Unknown,Sea,7500000,46875
"2,944,000 EGP",61,1,1 bathroom,1,2026,Broker,Side Street,Installments,Unknown,Basic,2944000,48262.3
"5,718,000 EGP",119,2,2 bathroom,2,2027,Broker,Main Street,Cash or Installments,Bahja Residence,Basic,5718000,48050.42
"4,800,000 EGP",185,3,3 bathroom,6,2025,Broker,Garden,Cash,Oia New Capital,Installment,4800000,25945.95
"6,341,720 EGP",85,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,6341720,74608.47
"8,500,000 EGP",182,3,4 bathroom,5,2025,Broker,Garden,Cash,تاج ستي,فيو,8500000,46703.3
"4,274,600 EGP",67,1,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,4274600,63800
"7,100,000 EGP",119,3,3 bathroom,3,2025,Broker,Garden,Cash,الرحاب – المرحلة,Basic,7100000,59663.87
"4,900,000 EGP",215,3,3 bathroom,8,2012,Cash,Main Street,Cash,Unknown,Basic,4900000,22790.7
"650,000 EGP",40,1,1 bathroom,,2025,Developer,Side Street,Cash,Street 31,Basic,650000,16250
"5,100,000 EGP",160,3,2 bathroom,13,2012,Developer,Club,Cash,Sidi Gaber With,View,5100000,31875
