Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"2,572,400 EGP",59,1,1 bathroom,3,2028,Compound Developer,Main Street,Cash or Installments,Zamoon Compound,Basic,2572400,43600
"6,100,000 EGP",215,4,3 bathroom,3,2026,Developer,Garden,Cash or Installments,Fourth Neighborhood,Basic,6100000,28372.09
"2,788,500 EGP",78,2,1 bathroom,4,2028,Compound Developer,Main Street,Cash or Installments,Zamoon Compound,Basic,2788500,35750
"4,600,000 EGP",130,3,2 bathroom,2,2029,Developer,Main Street,Cash or Installments,Unknown,Installment,4600000,35384.62
"2,900,000 EGP",135,3,1 bathroom,3,2025,Developer,Corner,Cash,Neighbourhood 1,Basic,2900000,21481.48
"7,400,000 EGP",171,3,3 bathroom,2,2025,Broker,Main Street,Cash,The Address East,Basic,7400000,43274.85
"1,711,400 EGP",43,1,1 bathroom,3,2028,Compound Developer,Main Street,Cash or Installments,Zamoon Compound,Basic,1711400,39800
"5,181,960 EGP",139,3,2 bathroom,3,2028,Compound Developer,Main Street,Cash or Installments,Makany Compound,Basic,5181960,37280.29
"5,950,000 EGP",215,4,3 bathroom,2,2026,Developer,Garden,Cash or Installments,الحي الرابع,Basic,5950000,27674.42
"4,125,000 EGP",150,3,2 bathroom,,2025,Developer,Side Street,Cash or Installments,New Narges,Basic,4125000,27500
"11,760,000 EGP",202,3,3 bathroom,1,2025,Developer,Garden,Cash,The Square.,Garden,11760000,58217.82
"7,000,000 EGP",180,3,2 bathroom,2,2015,Developer,Main Street,Cash,Seventh Neighborhood,Basic,7000000,38888.89
"8,500,000 EGP",270,3,3 bathroom,5,2009,Developer,Main Street,Cash,Unknown,"بحر, الترا",8500000,31481.48
"10,000,000 EGP",168,3,2 bathroom,2,2025,Developer,Garden,Cash,الباتيو اورو بقلب,Basic,10000000,59523.81
"4,716,000 EGP",154,3,3 bathroom,2,2027,Developer,Garden,Cash or Installments,Beit Al Watan,Finished,4716000,30623.38
"6,300,000 EGP",132,3,2 bathroom,2,2025,Developer,Lake,Cash,The Square Compound,Basic,6300000,47727.27
"10,000,000 EGP",171,3,3 bathroom,1,2025,Developer,Garden,Cash,Al Patio,View,10000000,58479.53
"1,300,000 EGP",140,3,2 bathroom,3,2025,Developer,Side Street,Cash,Bait El Watan,Basic,1300000,9285.71
"3,700,000 EGP",165,3,2 bathroom,2,2012,Developer,Main Street,Cash,El Merag El,Basic,3700000,22424.24
"11,890,930 EGP",187,3,3 bathroom,1,2023,Developer,Garden,Cash or Installments,Taj Ville,Basic,11890930,63587.86
"3,100,000 EGP",145,3,2 bathroom,3,2024,Developer,Other,Cash,Makany Compound,Basic,3100000,21379.31
"4,300,000 EGP",200,3,2 bathroom,4,1989,Cash or Installments,Side Street,Cash or Installments,Abbas El Akkad,Basic,4300000,21500
"2,700,000 EGP",120,3,1 bathroom,1,2025,Developer,Main Street,Cash,الحي التالت مجاوره,Basic,2700000,22500
"7,800,000 EGP",140,2,2 bathroom,2,2025,Developer,Pool,Cash,Stone Residence,Finished,7800000,55714.29
"2,296,000 EGP",164,3,3 bathroom,1,2027,Developer,Main Street,Cash or Installments,Miami Project Beside,Basic,2296000,14000
"2,700,000 EGP",135,3,1 bathroom,1,2008,Private Owner,Main Street,Cash,Unknown,بحر,2700000,20000
"3,100,000 EGP",145,3,2 bathroom,1,2024,Developer,Main Street,Cash or Installments,The Entertainment District,Basic,3100000,21379.31
"4,561,500 EGP",173,3,3 bathroom,2,2025,Developer,Garden,Cash or Installments,كمبوند هيليو اي,Basic,4561500,26367.05
"9,000,000 EGP",240,4,3 bathroom,8,2000,Developer,Main Street,Cash,Unknown,Basic,9000000,37500
"13,250,000 EGP",160,3,3 bathroom,3,2028,Broker,Garden,Cash or Installments,Sheikh Zayed With,Basic,13250000,82812.5
"1,200,000 EGP",150,3,2 bathroom,2,2025,Developer,Main Street,Cash,Bait El Watan,Basic,1200000,8000
"2,200,000 EGP",196,3,2 bathroom,4,2020,Broker,Main Street,Cash,منطقة أ,Basic,2200000,11224.49
"3,150,000 EGP",165,3,2 bathroom,4,2016,Developer,Main Street,Cash,El Merag El,Basic,3150000,19090.91
"4,200,000 EGP",215,4,3 bathroom,2,2025,Developer,Main Street,Cash,بيت الوطن الحي,Basic,4200000,19534.88
"6,100,000 EGP",215,4,3 bathroom,1,2026,Developer,Garden,Cash or Installments,Fourth Neighborhood,Basic,6100000,28372.09
"4,333,000 EGP",178,3,3 bathroom,1,2025,Developer,Garden,Cash or Installments,كمبوند هيليو اي,Basic,4333000,24342.7
"2,800,000 EGP",215,3,3 bathroom,1,2027,Developer,Main Street,Installments,أكتوبر الجديدة –,Basic,2800000,13023.26
"4,900,000 EGP",143,3,2 bathroom,2,2029,Broker,Garden,Cash or Installments,Seven Residence Compound,Basic,4900000,34265.73
"2,800,000 EGP",200,3,3 bathroom,2,2028,Developer,Garden,Installments,حي أب تاون,Basic,2800000,14000
"3,547,000 EGP",215,3,2 bathroom,1,2025,Compound Developer,Main Street,Cash or Installments,بيت الوطن الحي,Basic,3547000,16497.67
"7,550,000 EGP",150,3,2 bathroom,3,2019,Developer,Garden,Cash or Installments,كمبوند دي جويا,Basic,7550000,50333.33
"3,150,000 EGP",155,3,2 bathroom,3,2024,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,"Garden, Finished",3150000,20322.58
"2,375,000 EGP",125,2,2 bathroom,5,2025,Developer,Main Street,Installments,Unknown,Basic,2375000,19000
"950,000 EGP",90,2,1 bathroom,11,2011,Private Owner,Side Street,Cash,Unknown,Basic,950000,10555.56
"16,299,184 EGP",145,3,2 bathroom,2,2025,Developer,Main Street,Cash or Installments,Trio Gardens Compound,Garden,16299184,112408.17
"10,600,000 EGP",195,3,3 bathroom,4,2021,Developer,Garden,Cash or Installments,كمبوند روك إيدين,Basic,10600000,54358.97
"4,450,000 EGP",132,3,3 bathroom,2,2025,Broker,Garden,Cash or Installments,Unknown,"Finished, Installment",4450000,33712.12
"6,500,000 EGP",180,3,2 bathroom,1,2017,Broker,Main Street,Cash,Ademon Fremon St.,Basic,6500000,36111.11
"8,600,000 EGP",144,3,2 bathroom,2,2020,Developer,Garden,Cash or Installments,الحي السكني السابع,Basic,8600000,59722.22
"6,225,000 EGP",251,4,3 bathroom,1,2025,Developer,Side Street,Cash or Installments,Sixth Neighborhood,Basic,6225000,24800.8
"17,807,656 EGP",195,4,4 bathroom,1,2025,Developer,Garden,Installments,كمبوند بادية,Basic,17807656,91321.31
"3,600,000 EGP",245,2,2 bathroom,10,2020,Developer,Main Street,Cash or Installments,شارع زهراء المعادي,Basic,3600000,14693.88
"6,000,000 EGP",225,4,3 bathroom,3,2017,Developer,Other,Cash,القرنفل 2,Basic,6000000,26666.67
"3,000,000 EGP",180,3,2 bathroom,1,2025,Broker,Other,Cash,المستثمر الصغير,Basic,3000000,16666.67
"6,225,000 EGP",251,4,3 bathroom,3,2025,Developer,Side Street,Installments,Sixth Neighborhood,Basic,6225000,24800.8
"3,153,000 EGP",154,3,3 bathroom,1,2025,Broker,Garden,Cash,الحي الأول,Basic,3153000,20474.03
"5,850,000 EGP",200,3,3 bathroom,1,2026,Compound Developer,Corner,Cash or Installments,المجاوره الثامنه,Basic,5850000,29250
"9,000,000 EGP",280,4,3 bathroom,2,2025,Developer,Side Street,Cash,Amin El Khouly,Basic,9000000,32142.86
"2,650,000 EGP",122,3,1 bathroom,11,2024,Developer,Main Street,Cash or Installments,Sudan St,Basic,2650000,21721.31
"6,500,000 EGP",222,4,3 bathroom,4,2025,Developer,Corner,Cash or Installments,New Lotus,Basic,6500000,29279.28
"2,800,000 EGP",135,2,2 bathroom,2,2025,Broker,Other,Cash,ابو الهول 3,Basic,2800000,20740.74
"3,800,000 EGP",130,3,2 bathroom,1,2025,Broker,Garden,Cash,Dar Misr Al,Basic,3800000,29230.77
"9,302,000 EGP",176,3,2 bathroom,3,2028,Broker,Main Street,Cash or Installments,The Icon Gardens,"Garden, Finished",9302000,52852.27
"5,700,000 EGP",250,3,3 bathroom,2,2025,Broker,Garden,Installments,المستثمر الصغير,Basic,5700000,22800
"4,200,000 EGP",133,3,1 bathroom,1,2025,Broker,Garden,Cash,اللوتس الجنوبيه,Basic,4200000,31578.95
"4,800,000 EGP",180,3,3 bathroom,3,2025,Broker,Main Street,Cash,El Andalus 1,Basic,4800000,26666.67
"3,000,000 EGP",160,3,2 bathroom,3,2020,Developer,Side Street,Cash,Unknown,تشطيب,3000000,18750
"4,000,000 EGP",172,3,3 bathroom,,2027,Broker,Garden,Cash or Installments,Unknown,Finished,4000000,23255.81
"5,639,920 EGP",68,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,"View, Pool",5639920,82940
"4,173,629 EGP",73,1,1 bathroom,2,2028,Broker,Pool,Installments,Unknown,Basic,4173629,57173
"3,135,000 EGP",57,1,1 bathroom,2,2028,Broker,Pool,Installments,Unknown,Basic,3135000,55000
"5,000,000 EGP",117,2,1 bathroom,4,2024,Broker,Garden,Cash or Installments,Taj City,Basic,5000000,42735.04
"12,000,000 EGP",161,3,3 bathroom,8,2024,Broker,Garden,Installments,زد تاور,Basic,12000000,74534.16
"5,474,040 EGP",66,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,5474040,82940
"7,500,000 EGP",207,3,4 bathroom,1,2025,Broker,Garden,Installments,كمبوند كابيتال جاردنز,Basic,7500000,36231.88
"11,000,000 EGP",135,2,2 bathroom,2,2022,Broker,Garden,Cash,كمبوند أيون,Basic,11000000,81481.48
"6,310,948 EGP",156,3,3 bathroom,1,2025,Broker,Main Street,Cash or Installments,Unknown,Basic,6310948,40454.79
"14,660,000 EGP",168,3,3 bathroom,8,2024,Broker,Garden,Installments,زد تاور,Basic,14660000,87261.9
"3,062,400 EGP",58,1,1 bathroom,2,2028,Broker,Sea View,Installments,Magawish,Basic,3062400,52800
"3,258,861 EGP",57,1,1 bathroom,2,2028,Broker,Pool,Installments,Unknown,View,3258861,57173
"6,200,000 EGP",167,3,3 bathroom,2,2025,Broker,Lake,Cash,The Square,Finished,6200000,37125.75
"2,400,000 EGP",137,3,2 bathroom,5,2023,Broker,Other,Cash,Other Neighborhoods In,Basic,2400000,17518.25
"2,700,000 EGP",50,1,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,2700000,54000
"6,200,000 EGP",166,3,3 bathroom,1,2025,Broker,Main Street,Cash or Installments,Unknown,Basic,6200000,37349.4
"7,540,000 EGP",169,3,3 bathroom,3,2024,Broker,Main Street,Cash,Taj City,Basic,7540000,44615.38
"8,300,000 EGP",140,3,3 bathroom,2,2026,Broker,Garden,Installments,West View Residence,"View, Super Lux",8300000,59285.71
"3,590,000 EGP",103,2,1 bathroom,,2025,Broker,Garden,Cash,Unknown,"Garden, Finished",3590000,34854.37
"8,500,000 EGP",260,3,3 bathroom,3,2025,Broker,Other,Cash,Heliopolis Omar Ibn,Finished,8500000,32692.31
"9,500,000 EGP",147,3,2 bathroom,2,2025,Broker,Main Street,Cash,Al Marasem.,Finished,9500000,64625.85
"7,000,000 EGP",197,4,3 bathroom,,2025,Broker,Main Street,Cash,Waslet Dahshur Rd,Basic,7000000,35532.99
"4,720,000 EGP",160,3,2 bathroom,6,2028,Broker,Main Street,Cash or Installments,Zahraa El Maadi,Basic,4720000,29500
"7,300,000 EGP",130,3,2 bathroom,2,2026,Broker,Garden,Installments,West View Residence,"View, Super Lux",7300000,56153.85
"1,669,000 EGP",145,3,1 bathroom,9,2013,Broker,Side Street,Cash,Faisal,Super Lux,1669000,11510.34
"9,900,000 EGP",180,3,2 bathroom,8,2023,Broker,Main Street,Installments,Abd El,Basic,9900000,55000
"3,500,000 EGP",115,2,2 bathroom,3,2029,Broker,Other,Cash or Installments,R8,Finished,3500000,30434.78
"7,278,000 EGP",140,3,2 bathroom,,2025,Broker,Garden,Cash or Installments,Unknown,Finished,7278000,51985.71
"4,950,000 EGP",96,2,1 bathroom,4,2025,Broker,Club,Cash,Unknown,تشطيب,4950000,51562.5
"6,336,000 EGP",198,3,3 bathroom,2,2028,Broker,Pool,Cash or Installments,Unknown,Basic,6336000,32000
"4,878,000 EGP",197,3,3 bathroom,,2025,Broker,Other,Installments,Unknown,Basic,4878000,24761.42
"9,444,000 EGP",129,2,2 bathroom,7,2029,Broker,Main Street,Cash or Installments,Unknown,Basic,9444000,73209.3
"4,420,000 EGP",160,3,2 bathroom,2,2027,Broker,Pool,Cash or Installments,The Icon Compound,Basic,4420000,27625
"3,318,000 EGP",158,3,3 bathroom,2,2029,Broker,Main Street,Cash or Installments,Mukhabarat Land,Basic,3318000,21000
"2,850,000 EGP",50,1,1 bathroom,4,2027,Broker,Pool,Installments,قلب الكوثر,Basic,2850000,57000
"4,342,000 EGP",167,3,3 bathroom,1,2026,Developer,Garden,Installments,جنوب طريق السويس,Basic,4342000,26000
"3,300,000 EGP",140,3,2 bathroom,4,2025,Broker,Main Street,Cash,Unknown,تشطيب,3300000,23571.43
"3,450,000 EGP",75,1,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,3450000,46000
"7,000,000 EGP",145,3,3 bathroom,2,2029,Broker,Garden,Installments,Lugar Compound,Basic,7000000,48275.86
"14,000,000 EGP",270,3,3 bathroom,4,2025,Broker,Garden,Cash,مدينتي,Basic,14000000,51851.85
"2,952,000 EGP",123,3,3 bathroom,2,2027,Broker,Plaza,Cash or Installments,كمبوند ادريس هوم,Basic,2952000,24000
"6,000,000 EGP",115,2,2 bathroom,1,2029,Broker,Garden,Installments,Unknown,تقسيط,6000000,52173.91
"1,270,000 EGP",155,3,3 bathroom,3,2025,Broker,Side Street,Cash or Installments,King Faisal St,Basic,1270000,8193.55
"4,500,000 EGP",100,2,1 bathroom,2,2002,Broker,Back,Cash,حدائق المهندسين,Basic,4500000,45000
"4,433,000 EGP",125,2,2 bathroom,3,2030,Broker,Main Street,Installments,5Th Settlement In,Garden,4433000,35464
"3,987,040 EGP",62,1,1 bathroom,1,2027,Broker,Main Street,Cash,بادية بالم هيلز,Basic,3987040,64307.1
"7,067,250 EGP",128,3,2 bathroom,3,2028,Broker,Garden,Cash or Installments,Street 9,Basic,7067250,55212.89
"4,350,000 EGP",100,2,1 bathroom,3,2025,Broker,Garden,Cash,الشيخ زايد –,تشطيب,4350000,43500
"2,750,000 EGP",55,1,1 bathroom,1,2028,Broker,Pool,Cash or Installments,Unknown,Basic,2750000,50000
"4,419,800 EGP",82,1,1 bathroom,1,2028,Broker,Pool,Installments,Unknown,Basic,4419800,53900
"2,300,000 EGP",130,3,2 bathroom,7,2007,Broker,Main Street,Cash,Mohamed Naguib,Sea,2300000,17692.31
"6,212,800 EGP",107,2,1 bathroom,1,2028,Broker,Pool,Installments,Magawish,Basic,6212800,58063.55
"5,500,000 EGP",200,3,2 bathroom,3,2025,Broker,Main Street,Cash,مناطق فرعية بالحي,Basic,5500000,27500
"3,200,000 EGP",125,2,2 bathroom,8,2014,Broker,Back,Cash,Unknown,,3200000,25600
"98,380,000 EGP",158,2,3 bathroom,5,2023,Broker,Garden,Cash,"بالم هيلز، القاهرة",Basic,98380000,622658.23
"3,800,000 EGP",150,3,2 bathroom,,2025,Broker,Corner,Cash,Tiba Gardens Compound,Garden,3800000,25333.33
"7,600,000 EGP",107,3,2 bathroom,3,2028,Broker,Other,Cash,Unknown,Basic,7600000,71028.04
"3,250,000 EGP",171,3,3 bathroom,1,2025,Broker,Main Street,Cash,Unknown,تشطيب,3250000,19005.85
"9,488,052 EGP",152,3,2 bathroom,3,2027,Broker,Main Street,Cash,بادية بالم هيلز,Basic,9488052,62421.39
"4,256,000 EGP",133,3,3 bathroom,2,2028,Broker,Main Street,Cash or Installments,Front Of Zewail,Basic,4256000,32000
"6,700,000 EGP",186,4,3 bathroom,2,2028,Broker,Main Street,Installments,طريق الواحات,Basic,6700000,36021.51
"3,340,000 EGP",167,3,1 bathroom,8,2002,Private Owner,Main Street,Cash,Unknown,Basic,3340000,20000
"1,250,000 EGP",155,3,3 bathroom,6,2025,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1250000,8064.52
"5,088,000 EGP",77,2,1 bathroom,,2024,Broker,Main Street,Cash,Madinaty,Basic,5088000,66077.92
"5,500,000 EGP",185,3,2 bathroom,1,2024,Broker,Side Street,Cash,المجاوره الحاديه عشر,Basic,5500000,29729.73
"3,318,000 EGP",158,3,3 bathroom,3,2028,Broker,Main Street,Cash or Installments,Mukhabarat Land,Basic,3318000,21000
"6,300,000 EGP",106,2,2 bathroom,2,2028,Broker,Main Street,Installments,Belva Compound,Basic,6300000,59433.96
"3,062,400 EGP",58,1,1 bathroom,2,2028,Broker,Pool,Installments,Unknown,Basic,3062400,52800
"6,740,000 EGP",82,1,1 bathroom,2,2029,Broker,Main Street,Installments,Cairo,Basic,6740000,82195.12
"7,100,000 EGP",150,3,2 bathroom,1,2020,Broker,Main Street,Cash,التسعين الجنوبي –,Basic,7100000,47333.33
"5,767,300 EGP",107,2,1 bathroom,1,2028,Broker,Sea View,Installments,Unknown,Basic,5767300,53900
"3,016,000 EGP",58,1,1 bathroom,1,2028,Broker,Pool,Installments,Unknown,Sea,3016000,52000
"6,054,400 EGP",104,2,1 bathroom,1,2028,Broker,Pool,Installments,Unknown,Basic,6054400,58215.38
"9,700,000 EGP",115,2,2 bathroom,2,2029,Broker,Main Street,Installments,Cairo,Basic,9700000,84347.83
"9,100,000 EGP",113,2,2 bathroom,3,2029,Broker,Main Street,Installments,كمبوند ذا رذيدنس,Basic,9100000,80530.97
"7,798,180 EGP",89,2,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,7798180,87620
"3,190,000 EGP",58,2,1 bathroom,1,2028,Broker,Pool,Installments,Unknown,Basic,3190000,55000
"7,582,200 EGP",246,4,4 bathroom,5,2029,Broker,Main Street,Cash or Installments,The Brooks Compound,Cash,7582200,30821.95
"4,500,000 EGP",195,3,2 bathroom,2,2015,Broker,Main Street,Cash,معادي هايتس,Basic,4500000,23076.92
"2,700,000 EGP",120,2,2 bathroom,3,2024,Broker,Other,Cash,Other Neighborhoods In,Basic,2700000,22500
"3,600,000 EGP",67,1,1 bathroom,1,2028,Broker,Pool,Installments,Magawish,Basic,3600000,53731.34
"3,445,200 EGP",116,3,2 bathroom,2,2028,Broker,Main Street,Installments,Darvell Residence Compound,Basic,3445200,29700
"15,500,000 EGP",175,2,3 bathroom,2,2025,Broker,Garden,Cash,Unknown,Finished,15500000,88571.43
"2,200,000 EGP",75,3,2 bathroom,,2020,Broker,Other,Cash,Other Neighborhoods In,Basic,2200000,29333.33
"3,420,000 EGP",170,3,3 bathroom,1,2028,Broker,Main Street,Cash or Installments,أكتوبر الجديدة,Basic,3420000,20117.65
"4,947,604 EGP",179,3,3 bathroom,2,2027,Broker,Main Street,Installments,Ojayd Reflect Compound,Basic,4947604,27640.25
"4,200,000 EGP",190,3,2 bathroom,3,2015,Broker,Main Street,Cash,Grand City Compound,Finished,4200000,22105.26
"14,660,000 EGP",168,3,3 bathroom,8,2025,Broker,Garden,Cash or Installments,Unknown,Basic,14660000,87261.9
"2,998,600 EGP",58,1,1 bathroom,1,2028,Broker,Pool,Installments,Unknown,View,2998600,51700
"2,998,600 EGP",58,1,1 bathroom,1,2028,Broker,Sea View,Installments,Magawish,Basic,2998600,51700
"4,284,000 EGP",139,2,2 bathroom,2,2025,Broker,Garden,Cash or Installments,الحى اللاتبيني فيو,فيو,4284000,30820.14
"7,500,000 EGP",127,3,3 bathroom,1,2025,Broker,Garden,Installments,مدينتي 127م تشطيب,تشطيب,7500000,59055.12
"6,110,000 EGP",164,3,2 bathroom,2,2027,Broker,Garden,Cash or Installments,Unknown,"View, Installment",6110000,37256.1
"4,606,000 EGP",98,1,1 bathroom,1,2027,Broker,Pool,Installments,قلب الغردقة,Basic,4606000,47000
"4,200,000 EGP",170,3,2 bathroom,4,2000,Broker,Main Street,Cash,شارع أحمد السمان,Basic,4200000,24705.88
"11,300,000 EGP",185,3,3 bathroom,4,2025,Broker,Main Street,Cash,سنتر فيل,Basic,11300000,61081.08
"7,300,000 EGP",75,2,1 bathroom,3,2027,Broker,Main Street,Cash or Installments,المستقبل سيتي,تقسيط,7300000,97333.33
"7,600,000 EGP",90,1,1 bathroom,1,2025,Broker,Main Street,Installments,The Capital Way,Finished,7600000,84444.44
"3,500,000 EGP",136,3,2 bathroom,2,2021,Broker,Corner,Cash,الحي التالت مدينة,Basic,3500000,25735.29
"3,212,000 EGP",73,1,1 bathroom,1,2028,Broker,Back,Installments,Magawish,View,3212000,44000
"3,454,333 EGP",73,1,1 bathroom,1,2028,Broker,Back,Installments,The Heart Of,Basic,3454333,47319.63
"3,700,000 EGP",128,3,2 bathroom,2,2028,Broker,Main Street,Installments,Unknown,Basic,3700000,28906.25
"6,500,000 EGP",116,3,2 bathroom,4,2017,Broker,Garden,Cash,مدينتي مساحه 116,"فيو, تشطيب",6500000,56034.48
"7,000,000 EGP",165,2,2 bathroom,1,2024,Broker,Main Street,Cash,Capital Gardens Compound,Garden,7000000,42424.24
"18,400,000 EGP",280,4,4 bathroom,3,2025,Broker,Main Street,Installments,The Capital Way,Finished,18400000,65714.29
"3,366,000 EGP",102,2,1 bathroom,1,2027,Broker,Garden,Installments,The Eighth Section,Basic,3366000,33000
"4,347,000 EGP",69,1,1 bathroom,1,2026,Broker,Sea View,Installments,The Heart Of,Sea,4347000,63000
"2,552,200 EGP",58,1,1 bathroom,1,2028,Broker,Back,Installments,Unknown,Basic,2552200,44003.45
"3,325,333 EGP",68,1,1 bathroom,1,2028,Broker,Back,Installments,Magawish,Basic,3325333,48901.96
"7,077,000 EGP",105,2,1 bathroom,1,2026,Broker,Pool,Installments,A Full Service,Basic,7077000,67400
"5,630,149 EGP",140,3,3 bathroom,1,2025,Broker,Garden,Installments,Mv Park,View,5630149,40215.35
"9,200,100 EGP",105,2,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,9200100,87620
"4,209,000 EGP",133,2,2 bathroom,3,2025,Broker,Garden,Installments,Latin City,Super Lux,4209000,31646.62
"6,800,000 EGP",180,2,3 bathroom,1,2024,Broker,Main Street,Cash,Touristic Second Area,Basic,6800000,37777.78
"7,394,420 EGP",94,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,"View, Pool",7394420,78664.04
"550,000 EGP",110,3,1 bathroom,8,2025,Broker,Side Street,Cash or Installments,Ismail El Fangari,Basic,550000,5000
"5,250,000 EGP",75,1,1 bathroom,1,2025,Broker,Garden,Cash,Village West Compound,Basic,5250000,70000
"3,030,000 EGP",190,3,3 bathroom,,,EG-6605258,Other,Cash or Installments,Unknown,Basic,3030000,15947.37
"7,310,940 EGP",91,2,1 bathroom,2,2026,Broker,Pool,Installments,A Premium Resort,Basic,7310940,80340
"7,077,000 EGP",105,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,7077000,67400
"2,600,000 EGP",140,3,1 bathroom,10,2016,Broker,Side Street,Cash,عين شمس,Basic,2600000,18571.43
"8,600,000 EGP",181,3,3 bathroom,1,2025,Broker,Pool,Cash,October Plaza Compound,Basic,8600000,47513.81
"10,846,000 EGP",187,4,3 bathroom,7,2028,Broker,Main Street,Installments,Muruj,Basic,10846000,58000
"5,500,000 EGP",200,3,2 bathroom,2,2023,Broker,Main Street,Cash,Unknown,Basic,5500000,27500
"8,222,800 EGP",122,3,1 bathroom,1,2026,Broker,Pool,Installments,A Modern Resort,Basic,8222800,67400
"6,200,000 EGP",208,3,3 bathroom,2,2025,Broker,Garden,Cash,Unknown,Basic,6200000,29807.69
"8,788,000 EGP",169,3,1 bathroom,1,2027,Broker,Plaza,Cash or Installments,Muruj,Basic,8788000,52000
"7,077,000 EGP",105,2,1 bathroom,1,2026,Broker,Pool,Installments,A Resort Lifestyle,Basic,7077000,67400
"7,310,940 EGP",91,2,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,View,7310940,80340
"3,000,000 EGP",165,3,2 bathroom,4,2024,Broker,Side Street,Cash,El Andalus El,Basic,3000000,18181.82
"8,222,800 EGP",122,3,1 bathroom,1,2026,Broker,Pool,Installments,A Resort Community,Basic,8222800,67400
"5,623,800 EGP",91,2,1 bathroom,1,2026,Broker,Pool,Installments,A Full Service,Basic,5623800,61800
"7,500,000 EGP",180,3,3 bathroom,3,2025,Broker,Main Street,Cash or Installments,Gamal Abd El,Basic,7500000,41666.67
"6,720,000 EGP",140,3,1 bathroom,2,2027,Broker,Main Street,Installments,Unknown,Basic,6720000,48000
"10,000,000 EGP",330,3,3 bathroom,1,2020,Broker,Main Street,Cash,Shweifat – 330,Basic,10000000,30303.03
"8,250,000 EGP",140,3,2 bathroom,3,2018,Broker,Main Street,Cash,طريق مدينتي,Basic,8250000,58928.57
"16,000,000 EGP",160,3,3 bathroom,,2026,"100,000 EGP/M²",Main Street,Cash or Installments,Unknown,Basic,16000000,100000
"20,500,000 EGP",260,4,4 bathroom,3,2025,Broker,Main Street,Installments,The Capital Way,Finished,20500000,78846.15
"10,800,000 EGP",171,3,3 bathroom,2,2025,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,10800000,63157.89
"7,200,000 EGP",160,3,3 bathroom,2,2029,Broker,Main Street,Installments,Unknown,"Park, Installment",7200000,45000
"2,750,000 EGP",50,1,1 bathroom,2,2027,Broker,Main Street,Installments,Unknown,Basic,2750000,55000
"1,850,000 EGP",95,2,1 bathroom,2,2013,Broker,Side Street,Cash,شارع عين شمس,Basic,1850000,19473.68
"10,500,000 EGP",167,3,3 bathroom,3,2025,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,10500000,62874.25
"3,770,000 EGP",125,2,2 bathroom,2,2024,Broker,Garden,Cash or Installments,Dejoya 4,Basic,3770000,30160
"6,157,000 EGP",131,3,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,6157000,47000
"3,942,900 EGP",48,1,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Garden,3942900,82143.75
"10,042,500 EGP",137,3,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Garden,10042500,73302.92
"2,585,000 EGP",47,1,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,2585000,55000
"3,000,000 EGP",120,2,1 bathroom,2,2003,Broker,Main Street,Cash,شارع الدكتور حسنين,Basic,3000000,25000
"9,334,900 EGP",125,3,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Garden,9334900,74679.2
"5,200,000 EGP",140,3,3 bathroom,5,2020,Broker,Other,Cash,شارع لبنان,Basic,5200000,37142.86
"4,653,000 EGP",99,2,1 bathroom,2,2027,Broker,Pool,Installments,Unknown,Basic,4653000,47000
"3,600,000 EGP",80,1,2 bathroom,3,2027,Broker,Other,Installments,Taj City,Basic,3600000,45000
"5,200,000 EGP",162,3,2 bathroom,2,2026,Broker,Side Street,Installments,الشيخ زايد الحي,Basic,5200000,32098.77
"8,054,300 EGP",100,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Garden,8054300,80543
"5,692,000 EGP",207,3,2 bathroom,2,2025,Developer,Garden,Cash or Installments,South Lotus,Basic,5692000,27497.58
"9,100,000 EGP",145,2,2 bathroom,4,2025,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,9100000,62758.62
"6,251,000 EGP",133,3,1 bathroom,1,2027,Broker,Main Street,Installments,Hurghada,Basic,6251000,47000
"8,800,000 EGP",140,2,2 bathroom,3,2025,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,8800000,62857.14
"9,500,000 EGP",144,2,3 bathroom,8,2025,Broker,Main Street,Cash or Installments,Vinci Compound,Basic,9500000,65972.22
